symbol,timeframe,left_path,right_path,relation,overlap_or_gap_seconds
ESPORTSUSDT,5m,ESPORTSUSDT_5m_limit500_20260718_182823_enriched_candles.csv,ESPORTSUSDT_5m_limit500_20260718_182823_enriched_candles.jsonl,EXACT_COVERAGE,0
FOGOUSDT,15m,FOGOUSDT_15m_limit500_20260625_211302_enriched_candles.csv,FOGOUSDT_15m_limit500_20260625_211302_enriched_candles.jsonl,EXACT_COVERAGE,0
FOGOUSDT,4h,FOGOUSDT_4h_limit500_20260625_211441_enriched_candles.csv,FOGOUSDT_4h_limit500_20260625_211441_enriched_candles.jsonl,EXACT_COVERAGE,0
GUAUSDT,15m,GUAUSDT_15m_limit100_20260629_142940_enriched_candles.csv,GUAUSDT_15m_limit100_20260629_142940_enriched_candles.jsonl,EXACT_COVERAGE,0
GUAUSDT,15m,GUAUSDT_15m_limit100_20260629_142940_enriched_candles.csv,GUAUSDT_15m_limit100_20260702_200224_enriched_candles.csv,GAP,191700
GUAUSDT,15m,GUAUSDT_15m_limit100_20260629_142940_enriched_candles.jsonl,GUAUSDT_15m_limit100_20260702_200224_enriched_candles.csv,GAP,191700
HEIUSDT,15m,HEIUSDT_15m_limit100_20260625_131011_enriched_candles.csv,HEIUSDT_15m_limit100_20260704_181626_enriched_candles.csv,GAP,708300
HMSTRUSDT,15m,HMSTRUSDT_15m_limit100_20260704_181703_enriched_candles.csv,HMSTRUSDT_15m_limit500_20260707_181124_enriched_candles.csv,B_CONTAINS_A,0
HMSTRUSDT,15m,HMSTRUSDT_15m_limit100_20260704_181703_enriched_candles.csv,HMSTRUSDT_15m_limit500_20260707_181124_enriched_candles.jsonl,B_CONTAINS_A,0
HMSTRUSDT,15m,HMSTRUSDT_15m_limit100_20260704_181703_enriched_candles.csv,HMSTRUSDT_15m_limit500_20260708_180429_enriched_candles.csv,B_CONTAINS_A,0
HMSTRUSDT,15m,HMSTRUSDT_15m_limit500_20260707_181124_enriched_candles.csv,HMSTRUSDT_15m_limit500_20260707_181124_enriched_candles.jsonl,EXACT_COVERAGE,0
HMSTRUSDT,15m,HMSTRUSDT_15m_limit500_20260707_181124_enriched_candles.csv,HMSTRUSDT_15m_limit500_20260708_180429_enriched_candles.csv,PARTIAL_OVERLAP,361800
HMSTRUSDT,15m,HMSTRUSDT_15m_limit500_20260707_181124_enriched_candles.jsonl,HMSTRUSDT_15m_limit500_20260708_180429_enriched_candles.csv,PARTIAL_OVERLAP,361800
HOTUSDT,15m,HOTUSDT_15m_limit100_20260627_204433_enriched_candles.csv,HOTUSDT_15m_limit100_20260627_204433_enriched_candles.jsonl,EXACT_COVERAGE,0
LABUSDT,15m,LABUSDT_15m_limit100_20260703_202902_enriched_candles.csv,LABUSDT_15m_limit100_20260704_181825_enriched_candles.csv,PARTIAL_OVERLAP,9000
LABUSDT,15m,LABUSDT_15m_limit100_20260703_202902_enriched_candles.csv,LABUSDT_15m_limit500_20260707_180937_enriched_candles.csv,B_CONTAINS_A,0
LABUSDT,15m,LABUSDT_15m_limit100_20260703_202902_enriched_candles.csv,LABUSDT_15m_limit500_20260707_180937_enriched_candles.jsonl,B_CONTAINS_A,0
LABUSDT,15m,LABUSDT_15m_limit100_20260703_202902_enriched_candles.csv,LABUSDT_15m_limit500_20260708_180014_enriched_candles.csv,PARTIAL_OVERLAP,24300
LABUSDT,15m,LABUSDT_15m_limit100_20260704_181825_enriched_candles.csv,LABUSDT_15m_limit500_20260707_180937_enriched_candles.csv,B_CONTAINS_A,0
LABUSDT,15m,LABUSDT_15m_limit100_20260704_181825_enriched_candles.csv,LABUSDT_15m_limit500_20260707_180937_enriched_candles.jsonl,B_CONTAINS_A,0
LABUSDT,15m,LABUSDT_15m_limit100_20260704_181825_enriched_candles.csv,LABUSDT_15m_limit500_20260708_180014_enriched_candles.csv,B_CONTAINS_A,0
LABUSDT,15m,LABUSDT_15m_limit500_20260707_180937_enriched_candles.csv,LABUSDT_15m_limit500_20260707_180937_enriched_candles.jsonl,EXACT_COVERAGE,0
LABUSDT,15m,LABUSDT_15m_limit500_20260707_180937_enriched_candles.csv,LABUSDT_15m_limit500_20260708_180014_enriched_candles.csv,PARTIAL_OVERLAP,361800
LABUSDT,15m,LABUSDT_15m_limit500_20260707_180937_enriched_candles.jsonl,LABUSDT_15m_limit500_20260708_180014_enriched_candles.csv,PARTIAL_OVERLAP,361800
LYNUSDT,15m,LYNUSDT_15m_limit500_20260718_185949_enriched_candles.csv,LYNUSDT_15m_limit500_20260718_185949_enriched_candles.jsonl,EXACT_COVERAGE,0
LYNUSDT,15m,LYNUSDT_15m_limit500_20260718_185949_enriched_candles.csv,LYNUSDT_15m_limit500_20260718_190753_enriched_candles.csv,PARTIAL_OVERLAP,447300
LYNUSDT,15m,LYNUSDT_15m_limit500_20260718_185949_enriched_candles.csv,LYNUSDT_15m_limit500_20260718_190753_enriched_candles.jsonl,PARTIAL_OVERLAP,447300
LYNUSDT,15m,LYNUSDT_15m_limit500_20260718_185949_enriched_candles.jsonl,LYNUSDT_15m_limit500_20260718_190753_enriched_candles.csv,PARTIAL_OVERLAP,447300
LYNUSDT,15m,LYNUSDT_15m_limit500_20260718_185949_enriched_candles.jsonl,LYNUSDT_15m_limit500_20260718_190753_enriched_candles.jsonl,PARTIAL_OVERLAP,447300
LYNUSDT,15m,LYNUSDT_15m_limit500_20260718_190753_enriched_candles.csv,LYNUSDT_15m_limit500_20260718_190753_enriched_candles.jsonl,EXACT_COVERAGE,0
LYNUSDT,1h,LYNUSDT_1h_limit500_20260718_190125_enriched_candles.csv,LYNUSDT_1h_limit500_20260718_190125_enriched_candles.jsonl,EXACT_COVERAGE,0
LYNUSDT,4h,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.csv,LYNUSDT_4h_limit500_20260718_190717_enriched_candles.jsonl,EXACT_COVERAGE,0
LYNUSDT,5m,LYNUSDT_5m_limit500_20260718_185241_enriched_candles.csv,LYNUSDT_5m_limit500_20260718_185241_enriched_candles.jsonl,EXACT_COVERAGE,0
MAGMAUSDT,15m,MAGMAUSDT_15m_limit100_20260626_133221_enriched_candles.csv,MAGMAUSDT_15m_limit100_20260626_133221_enriched_candles.jsonl,EXACT_COVERAGE,0
MAGMAUSDT,15m,MAGMAUSDT_15m_limit100_20260626_133221_enriched_candles.csv,MAGMAUSDT_15m_limit100_20260702_200404_enriched_candles.csv,GAP,453600
MAGMAUSDT,15m,MAGMAUSDT_15m_limit100_20260626_133221_enriched_candles.csv,MAGMAUSDT_15m_limit100_20260703_201708_enriched_candles.csv,GAP,540900
MAGMAUSDT,15m,MAGMAUSDT_15m_limit100_20260626_133221_enriched_candles.jsonl,MAGMAUSDT_15m_limit100_20260702_200404_enriched_candles.csv,GAP,453600
MAGMAUSDT,15m,MAGMAUSDT_15m_limit100_20260626_133221_enriched_candles.jsonl,MAGMAUSDT_15m_limit100_20260703_201708_enriched_candles.csv,GAP,540900
MAGMAUSDT,15m,MAGMAUSDT_15m_limit100_20260702_200404_enriched_candles.csv,MAGMAUSDT_15m_limit100_20260703_201708_enriched_candles.csv,PARTIAL_OVERLAP,900
MAGMAUSDT,1d,MAGMAUSDT_1d_limit500_20260626_145834_enriched_candles.csv,MAGMAUSDT_1d_limit500_20260626_145834_enriched_candles.jsonl,EXACT_COVERAGE,0
MAGMAUSDT,1h,MAGMAUSDT_1h_limit500_20260626_145855_enriched_candles.csv,MAGMAUSDT_1h_limit500_20260626_145855_enriched_candles.jsonl,EXACT_COVERAGE,0
MAGMAUSDT,4h,MAGMAUSDT_4h_limit500_20260626_145844_enriched_candles.csv,MAGMAUSDT_4h_limit500_20260626_145844_enriched_candles.jsonl,EXACT_COVERAGE,0
MANTAUSDT,5m,MANTAUSDT_5m_limit100_20260628_164201_enriched_candles.csv,MANTAUSDT_5m_limit100_20260628_164201_enriched_candles.jsonl,EXACT_COVERAGE,0
MUSDT,15m,MUSDT_15m_limit100_20260702_200514_enriched_candles.csv,MUSDT_15m_limit500_20260625_112715_enriched_candles.csv,GAP,548100
OGNUSDT,15m,OGNUSDT_15m_limit100_20260704_181612_enriched_candles.csv,OGNUSDT_15m_limit100_20260708_194210_enriched_candles.csv,GAP,261900
PUNDIXUSDT,15m,PUNDIXUSDT_15m_limit100_20260626_175634_enriched_candles.csv,PUNDIXUSDT_15m_limit100_20260626_175634_enriched_candles.jsonl,EXACT_COVERAGE,0
RAVEUSDT,15m,RAVEUSDT_15m_limit100_20260629_143329_enriched_candles.csv,RAVEUSDT_15m_limit100_20260629_143329_enriched_candles.jsonl,EXACT_COVERAGE,0
RPLUSDT,15m,RPLUSDT_15m_limit100_20260702_233651_enriched_candles.csv,RPLUSDT_15m_limit100_20260704_181637_enriched_candles.csv,GAP,65700
