acco_ls_ratio,avg_quote_per_trade,avg_quote_per_trade_rank,close,close_time,funding_rate,global_ls_ratio,number_of_trades,number_of_trades_rank,oi,oi_change_pct,oi_rank,oi_value,oi_value_rank,posit_ls_ratio,price_abs_rank,price_change_pct,quote_volume,quote_volume_rank,rsi,source,taker_quote_imbalance_pct,timeframe,timestamp
0.6377,29.940537767253048,0.6363636363636364,0.04231,1783987199999,5e-05,0.4762,739.0,0.2727272727272727,141732488.0,-0.20417052920138623,0.0,5978053.82383384,0.3409090909090909,2.692,0.5581395348837209,0.26066350710900466,22126.05741,0.38636363636363635,51.82547333745597,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,-1.8322901477096032,15m,1783986300000
0.6305,37.477967288606585,0.8888888888888888,0.0428,1783988099999,0.00011826,0.4706,2519.0,1.0,141754565.0,0.01557652752133265,0.022222222222222223,5997476.8800372,0.4888888888888889,2.7016,0.9772727272727273,1.158118648073736,94406.9996,1.0,63.04117746748135,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,22.602816920791128,15m,1783987200000
0.6305,31.518171213742608,0.7383419689119171,0.04303,1783990799999,0.00011826,0.4706,7102.0,0.8419689119170984,141754565.0,-0.2700248984134346,0.9326424870466321,5997476.8800372,0.9689119170984456,2.7016,0.8779220779220779,1.7017253604348914,223842.05196,0.8367875647668394,62.3181549615426,BANKUSDT_1h_limit500_20260719_170932_enriched_candles.csv,12.60295592940739,1h,1783987200000
0.6305,29.04545197706055,0.6689655172413793,0.04267,1784001599999,0.00011826,0.4706,18745.0,0.8206896551724138,141754565.0,-0.6222940208186145,0.9586206896551724,5997476.8800372,0.9724137931034482,2.7016,0.4652777777777778,0.8508626802174346,544456.99731,0.7724137931034483,67.09579541771555,BANKUSDT_4h_limit500_20260719_170921_enriched_candles.csv,4.1000485438319805,4h,1783987200000
0.6305,28.104656432302573,0.56,0.04412,1784073599999,0.00011826,0.4706,100314.0,0.76,141754565.0,0.507549972641197,1.0,5997476.8800372,1.0,2.7016,0.9166666666666666,4.277948475537685,2819290.50535,0.72,66.43440824626728,BANKUSDT_1d_limit500_20260719_170839_enriched_candles.csv,5.32671177251939,1d,1783987200000
0.6281,29.838479197080293,0.6086956521739131,0.0428,1783988999999,0.00011826,0.4661,2466.0,0.9782608695652174,141627045.0,-0.08995830222469081,0.0,6061420.83662115,0.9565217391304348,2.6741,0.011111111111111112,0.0,73581.6897,0.9347826086956522,63.04117746748135,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,21.363756478128273,15m,1783988100000
0.6268,24.834792672147998,0.3617021276595745,0.04283,1783989899999,0.00011826,0.4704,973.0,0.5957446808510638,141642297.0,0.01076912958255516,0.02127659574468085,6058290.33313272,0.9361702127659575,2.6479,0.10869565217391304,0.07009345794393163,24164.25327,0.46808510638297873,63.64221425607277,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,-21.524730732968354,15m,1783989000000
0.6213,27.700270445804197,0.5,0.04303,1783990799999,0.00011826,0.4669,1144.0,0.7291666666666666,141479337.0,-0.11505037933690065,0.0,6059560.00371,0.9375,2.6487,0.723404255319149,0.4669624095260394,31689.10939,0.6875,67.44337104004464,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,-11.506945888326845,15m,1783989900000
0.6215,18.73590904925544,0.04081632653061224,0.04281,1783991699999,0.00011826,0.4674,873.0,0.4897959183673469,141352266.0,-0.08981594252169822,0.0,6080700.25992396,1.0,2.6447,0.7708333333333334,-0.5112712061352442,16356.4486,0.20408163265306123,60.01101207783579,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,39.41522856006774,15m,1783990800000
0.6215,24.030946451612902,0.5090439276485789,0.04238,1783994399999,0.00011826,0.4674,2697.0,0.5607235142118863,141352266.0,-0.2837996786911212,0.9224806201550387,6080700.25992396,0.9896640826873385,2.6447,0.8575129533678757,-1.5105740181268867,64811.46258,0.5555555555555556,54.626152590707974,BANKUSDT_1h_limit500_20260719_170932_enriched_candles.csv,-13.713076153820072,1h,1783990800000
0.6189,29.712183818443805,0.62,0.04251,1783992599999,0.00011826,0.4648,694.0,0.22,141215502.0,-0.096754020200851,0.0,6045435.64062,0.78,2.6433,0.8571428571428571,-0.7007708479327301,20620.25557,0.3,51.65195271997944,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,-59.21993647724707,15m,1783991700000
