account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.8539,8,True,Failed Base Vacuum Ignition,Distribution Risk,0.6339,Medium,0.00283956,1.9533,130,27757382.0,-0.02,OI ثابت,Failed Base Ignition,1.8639,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 17:30:00 UTC,1890
1.8361,7,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6346,Medium,0.00173338,1.9283,131,27752827.0,-0.02,OI ثابت,Mixed Structure,1.8647,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 17:45:00 UTC,1705
1.849,6,True,Failed Base Vacuum Ignition,Distribution Risk,0.6336,Low,0.00331439,1.9197,132,27755715.0,0.01,OI ثابت,Failed Base Ignition,1.865,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 18:00:00 UTC,1747
1.8474,5,True,Failed Base Vacuum Ignition,Distribution Risk,0.6322,Low,0.00553622,1.9334,133,27761514.0,0.02,OI ثابت,Failed Base Ignition,1.8658,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 18:15:00 UTC,2139
1.8514,4,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6348,Medium,0.00141777,1.9343,134,27750224.0,-0.04,Price-led Base Move Without OI Expansion,Mixed Structure,1.8655,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 18:30:00 UTC,1459
1.8401,3,True,Failed Base Vacuum Ignition,Distribution Risk,0.6318,Low,0.00617284,1.918,135,27765390.0,0.05,OI ثابت,Failed Base Ignition,1.865,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 18:45:00 UTC,1644
1.8531,2,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6335,Medium,0.00347277,1.9248,136,27774765.0,0.03,Delayed Constructive OI Reload From Base,Mixed Structure,1.8647,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,BEATUSDT,2026-05-18 19:00:00 UTC,2401
1.8547,1,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6332,Medium,0.0039482,1.9172,137,27774618.0,-0.0005292574032579574,OI ثابت,Mixed Structure,1.8664,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 19:15:00 UTC,1156
1.8555,0,True,Late Base Crowding Risk,Neutral / Unclear,0.6357,Medium,0.0,1.9248,138,27770795.0,-0.01,Delayed Constructive OI Reload From Base,Mixed Structure,1.8678,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,BEATUSDT,2026-05-18 19:30:00 UTC,1746
1.8727,17,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6332,Medium,0.00363234,1.9438,139,27759338.0,-0.04,OI ثابت,Mixed Structure,1.8691,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 19:45:00 UTC,1173
1.886,16,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6344,Medium,0.00173392,1.9516,140,27743967.0,-0.06,Price-led Base Move Without OI Expansion,Mixed Structure,1.8706,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 20:00:00 UTC,1271
1.8843,15,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.632,Low,0.00553797,1.9446,141,27746093.0,0.01,OI ثابت,Mixed Structure,1.8711,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 20:15:00 UTC,1057
