assessment_status,campaign_index,checkpoint_minutes,coverage_status,dominant_hypothesis,execution_decay,execution_decay_prior_median,execution_rank_last,execution_rank_last_prior_median,execution_rank_median,execution_rank_median_prior_median,ignition_time,missing_evidence,oi_return_pct,oi_return_pct_prior_median,opposing_evidence,positive_oi_fraction,positive_oi_fraction_prior_median,price_min_return_pct,price_min_return_pct_prior_median,price_return_pct,price_return_pct_prior_median,prior_campaign_count,prior_campaign_indices,supporting_evidence,taker_imbalance_median,taker_imbalance_median_prior_median,valid_ignition
MIXED_CONTEXT,5,45,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.035778175313059046,-0.3194401257600885,0.3488372093023256,0.3299319727891156,0.3911381016644174,0.5836042159180457,2026-07-15T05:45:00+00:00,,0.30122580245026676,-1.2025546231615003,positive_oi_fraction=BELOW|execution_rank_median=BELOW,0.3333333333333333,0.5,0.0,-4.391984943077487,1.2650602409638445,-3.033189496878441,4,1|2|3|4,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,6.4280159576016045,1.752481909880947,True
SHORT_COVERING_CONTEXT,5,60,COMPLETE,TLM_SHORT_COVERING_ONLY,-0.2574477545575812,-0.33238182145618106,0.12716763005780346,0.32903225806451614,0.38461538461538464,0.4375,2026-07-15T05:45:00+00:00,,-0.27887292560552224,0.002033657755545759,oi_return_pct=BELOW|positive_oi_fraction=BELOW|execution_rank_median=BELOW|execution_rank_last=BELOW,0.25,0.625,0.0,-5.247248100972223,0.24096385542167198,-4.267124890539603,4,1|2|3|4,price_return_pct=ABOVE|price_min_return_pct=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,4.163137431200754,0.37953040396171384,True
IGNITION_SNAPSHOT_ONLY,6,0,COMPLETE,UNRESOLVED,0.0,0.0,0.4789473684210526,0.6296296296296297,0.4789473684210526,0.6296296296296297,2026-07-15T11:00:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,5,1|2|3|4|5,ignition proposal frozen,11.877975126449309,5.408606684683715,True
MIXED_CONTEXT,6,15,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.007743179939377232,-0.039777983348751156,0.4712041884816754,0.4,0.475075778451364,0.4755291005291006,2026-07-15T11:00:00+00:00,,1.122475545916779,-0.3686123801856067,price_return_pct=BELOW|price_min_return_pct=BELOW|execution_rank_median=BELOW|taker_imbalance_median=BELOW,1.0,0.0,-2.9293509477311797,-1.2048192771084265,-2.9293509477311797,-1.2048192771084265,5,1|2|3|4|5,oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE,2.339495527215488,2.537015007419916,True
MIXED_CONTEXT,6,30,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.02582236842105262,-0.010889292196007247,0.453125,0.5416666666666666,0.4712041884816754,0.6296296296296297,2026-07-15T11:00:00+00:00,,1.1581069703430202,0.6251427252178976,price_return_pct=BELOW|price_min_return_pct=BELOW|execution_rank_median=BELOW|execution_rank_last=BELOW|execution_decay=BELOW|taker_imbalance_median=BELOW,1.0,0.5,-4.250430786904069,-1.9078947368421195,-4.250430786904069,-1.0282776349614497,5,1|2|3|4|5,oi_return_pct=ABOVE|positive_oi_fraction=ABOVE,-7.198984072018333,2.1386850621410414,True
MIXED_CONTEXT,6,45,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.12661576220343607,-0.29629629629629634,0.35233160621761656,0.3333333333333333,0.46216459424083767,0.4814814814814815,2026-07-15T11:00:00+00:00,,1.1746857007652212,0.30122580245026676,price_return_pct=BELOW|price_min_return_pct=BELOW|execution_rank_median=BELOW|taker_imbalance_median=BELOW,1.0,0.3333333333333333,-4.250430786904069,-2.533969886154974,-3.9632395175186574,0.1836210062431176,5,1|2|3|4|5,oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE,-4.194403554839696,1.9841646970992817,True
MIXED_CONTEXT,6,60,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.14389582202930007,-0.2931985294117647,0.33505154639175255,0.25806451612903225,0.453125,0.38461538461538464,2026-07-15T11:00:00+00:00,,0.8268429391769416,-0.27887292560552224,price_return_pct=BELOW|price_min_return_pct=BELOW|taker_imbalance_median=BELOW,0.75,0.5,-4.422745548535323,-2.533969886154974,-4.422745548535323,-0.5737234652897327,5,1|2|3|4|5,oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE,-1.189823037661059,1.494598998791281,True
IGNITION_SNAPSHOT_ONLY,7,0,COMPLETE,UNRESOLVED,0.0,0.0,0.5747126436781609,0.5542884990253412,0.5747126436781609,0.5542884990253412,2026-07-16T04:45:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,6,1|2|3|4|5|6,ignition proposal frozen,-3.76683224102652,5.577804400908406,True
MIXED_CONTEXT,7,15,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.3342546284109853,-0.023760581644064194,0.24045801526717558,0.43560209424083773,0.40758532947266823,0.4753024394902323,2026-07-16T04:45:00+00:00,,0.5018449364112332,0.36602782178692395,execution_rank_median=BELOW|execution_rank_last=BELOW|execution_decay=BELOW|taker_imbalance_median=BELOW,1.0,0.5,-0.8536585365853555,-1.8693945816317004,-0.8536585365853555,-1.8693945816317004,6,1|2|3|4|5|6,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE,-16.164825351328467,2.4747166927033257,True
MIXED_CONTEXT,7,30,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.24771644595952969,-0.018355830308529934,0.3269961977186312,0.4973958333333333,0.3269961977186312,0.5504169090556525,2026-07-16T04:45:00+00:00,,0.18440197660680724,0.8916248477804589,oi_return_pct=BELOW|positive_oi_fraction=BELOW|execution_rank_median=BELOW|execution_rank_last=BELOW|execution_decay=BELOW|taker_imbalance_median=BELOW,0.5,0.75,-1.0365853658536484,-2.220932311498547,-1.0365853658536484,-1.4680861859017846,6,1|2|3|4|5|6,price_return_pct=ABOVE|price_min_return_pct=ABOVE,-26.030946377886703,0.7015734356365939,True
MIXED_CONTEXT,7,45,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.3209247648902821,-0.2114560292498662,0.2537878787878788,0.34108527131782945,0.290392038253255,0.4718230378611596,2026-07-16T04:45:00+00:00,,0.3694754403051448,0.737955751607744,oi_return_pct=BELOW|execution_rank_median=BELOW|execution_rank_last=BELOW|execution_decay=BELOW|taker_imbalance_median=BELOW,0.6666666666666666,0.5,-1.8292682926829174,-3.3922003365295215,-1.8292682926829174,-1.88980925563777,6,1|2|3|4|5|6,price_return_pct=ABOVE|price_min_return_pct=ABOVE|positive_oi_fraction=ABOVE,-25.343712395078576,1.752481909880947,True
MIXED_CONTEXT,7,60,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.21999566254608544,-0.27532314198467295,0.35471698113207545,0.2965580312603924,0.3269961977186312,0.4188701923076923,2026-07-16T04:45:00+00:00,,0.4752242984312538,0.2739850067857097,execution_rank_median=BELOW|taker_imbalance_median=BELOW,0.75,0.625,-2.1341463414634054,-3.4783577173451485,-2.1341463414634054,-2.498234506912528,6,1|2|3|4|5|6,price_return_pct=ABOVE|price_min_return_pct=ABOVE|oi_return_pct=ABOVE|positive_oi_fraction=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE,-24.656478412270445,0.37953040396171384,True
IGNITION_SNAPSHOT_ONLY,8,0,COMPLETE,UNRESOLVED,0.0,0.0,0.6336633663366337,0.5747126436781609,0.6336633663366337,0.5747126436781609,2026-07-16T15:15:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,7,1|2|3|4|5|6|7,ignition proposal frozen,13.7695936053198,5.408606684683715,True
SHORT_COVERING_CONTEXT,8,15,COMPLETE,TLM_SHORT_COVERING_ONLY,-0.0810317873892652,-0.039777983348751156,0.5526315789473685,0.4,0.5931474726420011,0.475075778451364,2026-07-16T15:15:00+00:00,,-0.693023133245052,0.5018449364112332,oi_return_pct=BELOW|positive_oi_fraction=BELOW|execution_decay=BELOW,0.0,1.0,0.0,-1.2048192771084265,0.5098789037603524,-1.2048192771084265,7,1|2|3|4|5|6|7,price_return_pct=ABOVE|price_min_return_pct=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE|taker_imbalance_median=ABOVE,17.156515400697526,2.412418377986735,True
TRANSIENT_FAILURE_CONTEXT,8,30,COMPLETE,TLM_TRANSIENT_EXECUTION_SPIKE,-0.0008764810907320175,-0.02582236842105262,0.6327868852459017,0.453125,0.6327868852459017,0.4712041884816754,2026-07-16T15:15:00+00:00,,-0.6387899156327426,0.6251427252178976,price_return_pct=BELOW|oi_return_pct=BELOW,0.5,0.5,-1.5933715742511234,-1.9078947368421195,-1.5933715742511234,-1.0365853658536484,7,1|2|3|4|5|6|7,price_min_return_pct=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,13.7695936053198,-0.7355381908678534,True
MIXED_CONTEXT,8,45,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.1728790526111435,-0.29629629629629634,0.46078431372549017,0.3333333333333333,0.5927092320966351,0.46216459424083767,2026-07-16T15:15:00+00:00,,-0.5969340599616735,0.3694754403051448,oi_return_pct=BELOW,0.6666666666666666,0.6666666666666666,-1.5933715742511234,-2.533969886154974,-1.4021669853409913,-1.8292682926829174,7,1|2|3|4|5|6|7,price_return_pct=ABOVE|price_min_return_pct=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE|execution_decay=ABOVE|taker_imbalance_median=ABOVE,4.969788032012567,1.520799122662612,True
MIXED_CONTEXT,8,60,COMPLETE,NEW_UNIDENTIFIED_STRUCTURE,-0.2623278614506402,-0.2574477545575812,0.3713355048859935,0.33505154639175255,0.5526315789473685,0.38461538461538464,2026-07-16T15:15:00+00:00,,-0.40054516574323795,0.4752242984312538,oi_return_pct=BELOW|execution_decay=BELOW|taker_imbalance_median=BELOW,0.75,0.75,-1.9757807520713877,-2.533969886154974,-1.9757807520713877,-2.1341463414634054,7,1|2|3|4|5|6|7,price_return_pct=ABOVE|price_min_return_pct=ABOVE|execution_rank_median=ABOVE|execution_rank_last=ABOVE,-3.8300175412946653,-0.7355381908678534,True
IGNITION_SNAPSHOT_ONLY,9,0,COMPLETE,UNRESOLVED,0.0,0.0,0.6627218934911243,0.6021711366538953,0.6627218934911243,0.6021711366538953,2026-07-17T00:00:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,8,1|2|3|4|5|6|7|8,ignition proposal frozen,2.001289087170869,5.577804400908406,True
